,Player,Year,Season_Year,Draft,Rank,Experience,Height,Weight,Position,Age,Team_ID,Games,GS,Mins_Played,Field_Goal,FG_attempts,FG_percent,3_Point_FG,3P_attempts,3P_percent,2_Point_FG,2P_attempts,2P_percent,eFG%,Free_Throw,FT_attempts,FT_percent,Offensive_Rebounds,Defensive_Rebounds,Total_Rebounds,Assists,Steals,Blocks,Turnovers,Personal_Fouls,Points,Player_Career_Salary,Player_Season_Salary,Mins_Played_per_game,Total_Rebounds_per_game,Assists_per_game,Steals_per_game,Blocks_per_game,Turnovers_per_game,Personal_Fouls_per_game,Points_per_game
2,LaMarcus Aldridge,2010,2009-10,Chicago Bulls,12.0,15,83.0,250.0,PF,24,POR,78,78,2922,579,1169,0.495,5,16,0.313,574,1153,0.498,0.497,230,304,0.757,192,435,627,160,67,48,104,231,1393,213594277,5844827.0,37.5,8.0,2.1,0.9,0.6,1.3,3.0,17.9
15,Carmelo Anthony,2010,2009-10,Denver Nuggets,2.0,18,79.0,238.0,SF,25,DEN,69,69,2634,688,1502,0.458,59,187,0.316,629,1315,0.478,0.478,508,612,0.83,152,302,454,222,88,30,209,225,1943,264653337,15779912.0,38.2,6.6,3.2,1.3,0.4,3.0,3.3,28.2
18,Trevor Ariza,2010,2009-10,New York Knicks,19.0,17,80.0,215.0,SF,24,HOU,72,71,2629,394,999,0.394,136,407,0.334,258,592,0.436,0.462,148,228,0.649,78,325,403,276,126,40,161,162,1072,116320530,5854000.0,36.5,5.6,3.8,1.8,0.6,2.2,2.2,14.9
26,D.J. Augustin,2010,2009-10,Charlotte Bobcats,29.0,13,71.0,183.0,PG,22,CHA,80,2,1472,168,435,0.386,70,178,0.393,98,257,0.381,0.467,102,131,0.779,11,86,97,193,45,5,74,127,508,56804977,2385480.0,18.4,1.2,2.4,0.6,0.1,0.9,1.6,6.4
39,Nicolas Batum,2010,2009-10,Houston Rockets,0.0,13,80.0,230.0,SF,21,POR,37,25,918,139,268,0.519,54,132,0.409,85,136,0.625,0.619,43,51,0.843,32,109,141,44,24,25,27,83,375,156135822,1118760.0,24.8,3.8,1.2,0.6,0.7,0.7,2.2,10.1
112,Mike Conley,2010,2009-10,Memphis Grizzlies,21.0,14,73.0,175.0,PG,22,MEM,80,80,2569,369,830,0.445,82,212,0.387,287,618,0.464,0.494,139,187,0.743,30,161,191,425,109,12,170,178,959,208812026,3883800.0,32.1,2.4,5.3,1.4,0.2,2.1,2.2,12.0
120,Stephen Curry,2010,2009-10,Golden State Warriors,0.0,12,74.0,185.0,PG,21,GSW,80,77,2896,528,1143,0.462,166,380,0.437,362,763,0.474,0.535,177,200,0.885,48,308,356,472,152,19,243,252,1399,212078086,2710560.0,36.2,4.4,5.9,1.9,0.2,3.0,3.2,17.5
131,DeMar DeRozan,2010,2009-10,Toronto Raptors,5.0,12,78.0,220.0,SG,20,TOR,77,65,1664,255,512,0.498,4,16,0.25,251,496,0.506,0.502,148,194,0.763,66,157,223,53,43,18,62,176,662,176705770,2282640.0,21.6,2.9,0.7,0.6,0.2,0.8,2.3,8.6
144,Goran DragiÄ,2010,2009-10,San Antonio Spurs,0.0,13,75.0,190.0,PG,23,PHO,80,2,1442,222,491,0.452,74,188,0.394,148,303,0.488,0.527,117,159,0.736,38,133,171,241,48,8,126,131,635,133113525,1836000.0,18.0,2.1,3.0,0.6,0.1,1.6,1.6,7.9
145,Jared Dudley,2010,2009-10,Charlotte Bobcats,0.0,14,78.0,237.0,SF,24,PHO,82,1,1991,225,490,0.459,120,262,0.458,105,228,0.461,0.582,104,138,0.754,99,182,281,115,81,16,68,162,674,62197534,1307640.0,24.3,3.4,1.4,1.0,0.2,0.8,2.0,8.2
150,Wayne Ellington,2010,2009-10,Minnesota Timberwolves,8.0,12,76.0,207.0,SG,22,MIN,76,1,1384,190,448,0.424,64,162,0.395,126,286,0.441,0.496,61,70,0.871,33,126,159,74,20,5,74,72,505,45793775,1003560.0,18.2,2.1,1.0,0.3,0.1,1.0,0.9,6.6
